name,rating,place_id,tags,website,place_links,territory_id,description,locationYX
Kadikoy Ferry Terminal,4.6,370509,"1,9,14",https://thetravelauthor.com/kadikoy-ferry-istanbul-everything-you-need-to-know/,"https://www.google.com/maps/place/Kadikoy+Ferry+Station/@40.9919001,29.0212474,17z/data=!3m1!4b1!4m6!3m5!1s0x14cab86827bcec57:0x1a6c7df88e329a57!8m2!3d40.9918961!4d29.023817!16s%2Fg%2F11bxc5y8bz?entry=ttu",2,"The Kadıköy Ferry Terminal serves as a major transportation hub connecting the Asian side of Istanbul to the European side via ferry services, providing essential access across the Bosporus Strait. Passengers frequent the terminal for its efficient ferry schedules, offering a convenient mode of travel with breathtaking views of Istanbul's skyline. Located in the heart of Kadıköy, the terminal is surrounded by bustling streets, shops, and cafes, making it a vibrant focal point of the district. With its strategic location and pivotal role in Istanbul's transport network, the Kadıköy Ferry Terminal stands as an emblem of the city's interconnectedness and maritime heritage. Its iconic presence symbolizes the enduring link between Istanbul's European and Asian shores, welcoming travelers with a gateway to exploration and discovery.","40.99269778351916,29.023280555674663"
Kadikoy Bull Statue,4.5,761356,"1,3,6",https://tr.wikipedia.org/wiki/Kad%C4%B1k%C3%B6y_Bo%C4%9Fa_Heykeli,"https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Bo%C4%9Fa+Heykeli/@40.989546,29.0275387,17.53z/data=!4m12!1m5!3m4!2zNDDCsDU5JzI1LjciTiAyOcKwMDEnMzUuOCJF!8m2!3d40.9904715!4d29.0266017!3m5!1s0x14cab9f0b8afbb1f:0x703cd0993370cf84!8m2!3d40.9904675!4d29.0291713!16s%2Fg%2F11jw5kblpw?entry=ttu",2,"The Kadıköy Bull Statue is a beloved symbol of resilience and vitality, standing prominently in the heart of Kadıköy's bustling streets. Crowds often gather around the statue, using it as a meeting point or landmark to navigate the vibrant neighborhood. Sculpted with intricate detail, the bull statue represents strength and determination, reflecting the spirit of Kadıköy's community. Tourists and locals alike admire its imposing presence and snap photos against its backdrop, capturing memories of their time in Kadıköy. As a cultural icon, the Kadıköy Bull Statue embodies the district's rich history and enduring character.","40.990473264783475,29.029131932189433"
Kadikoy-moda Streets,4.6,877687,"13,14,15",https://tr.wikipedia.org/wiki/Kad%C4%B1k%C3%B6y,"https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+%C3%87ar%C5%9F%C4%B1/@40.99102,29.0076056,15z/data=!4m10!1m2!2m1!1zS2FkxLFrw7Z5IMOnYXLFn8Sx!3m6!1s0x14cab86888a0db5f:0xef213386dd7a167c!8m2!3d40.99102!4d29.02563!15sChJLYWTEsWvDtnkgw6dhcsWfxLFaFCISa2FkxLFrw7Z5IMOnYXLFn8SxkgEIYnVzX3N0b3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUndNalZITTA5bkVBReABAA!16s%2Fg%2F11b7q54vsh?entry=ttu",2,"The Kadıköy Marketplace is a vibrant hub of activity, bustling with vendors selling fresh produce, spices, textiles, and local goods. Visitors are greeted by a kaleidoscope of colors, aromas, and sounds as they navigate through the lively aisles of the market. From fragrant spices to exotic fruits, the marketplace offers a sensory feast for shoppers seeking authentic Turkish ingredients and flavors. Local artisans showcase their craftsmanship, with handmade goods and traditional products adding to the market's charm. With its bustling atmosphere and diverse offerings, the Kadıköy Marketplace provides a captivating glimpse into Istanbul's vibrant culinary and cultural scene.","41.0300084184215,28.98441527977153"
Moda Beach Park ,4.7,292410,"9,11,12","https://tr.wikipedia.org/wiki/Moda,_Kad%C4%B1k%C3%B6y","https://www.google.com/maps/place/Moda+Sahil+Park%C4%B1+ve+Y%C3%BCr%C3%BCy%C3%BC%C5%9F+Yolu/@40.980058,29.0089314,15z/data=!4m10!1m2!2m1!1sModa+sahil!3m6!1s0x14cab88a6b1a7fc5:0x2a8426d49e0a222a!8m2!3d40.980058!4d29.0269558!15sCgpNb2RhIHNhaGlsWgwiCm1vZGEgc2FoaWySAQRwYXJr4AEA!16s%2Fg%2F11c0wdlq59?entry=ttu",2,"Moda Beach is a serene haven nestled along the Marmara Sea, renowned for its golden sands and tranquil waters. Sunbathers bask in the warm Mediterranean sun while children build sandcastles along the shoreline, creating a picturesque scene of relaxation and leisure. With its gentle waves and clear blue waters, Moda Beach offers an idyllic setting for swimming and water sports, attracting visitors seeking respite from the city's hustle and bustle. As the sun sets over the horizon, the beach transforms into a romantic retreat, with couples strolling hand in hand along the shore, soaking in the breathtaking views of Istanbul's skyline. Whether for sunbathing, swimming, or simply unwinding by the sea, Moda Beach provides an enchanting escape for travelers and locals alike.","40.98000940235465,29.026848556608424"
IDEA Kadikoy,4.6,827370,"9,14,16",https://en.ideakadikoy.org/,"https://www.google.com/maps/place/%C4%B0DEA+Kad%C4%B1k%C3%B6y/@40.9800806,29.0279083,18z/data=!4m16!1m9!3m8!1s0x14cab88a0fc00001:0xc867e72c146d60e1!2zxLBERUEgS2FkxLFrw7Z5!8m2!3d40.9800806!4d29.0279083!9m1!1b1!16s%2Fg%2F11g8tjvmnp!3m5!1s0x14cab88a0fc00001:0xc867e72c146d60e1!8m2!3d40.9800806!4d29.0279083!16s%2Fg%2F11g8tjvmnp?entry=ttu",2,"IDEA Kadıköy, developed by Kadıköy Municipality, is a dynamic public space fostering creativity and community engagement. It serves as a collaborative hub for production, interaction, learning, and experience sharing. Offering both communal and individual workspaces, IDEA Kadıköy enhances spatial and social diversity within the urban environment. The space is designed to support social interaction and encourage the exchange of ideas and skills. It provides a platform for learning and teaching, where users can share their knowledge and experiences. By embracing an open-source concept, IDEA Kadıköy aims to expand and replicate its innovative model. This initiative underscores the municipality's commitment to fostering inclusive and participatory urban development.","40.98015752580784,29.02810950338273"
Fenerbahce Park,4.7,326087,"9,11,12",https://tr.wikipedia.org/wiki/Fenerbah%C3%A7e_Park%C4%B1,"https://www.google.com/maps/place/Fenerbah%C3%A7e+Park%C4%B1/@40.9690422,29.0360653,17z/data=!3m1!4b1!4m6!3m5!1s0x14cab9ae372bae69:0x1bb8ae5f561f9621!8m2!3d40.9690422!4d29.0360653!16s%2Fg%2F11mv4mhkzl?entry=ttu",2,"Fenerbahçe Park is a verdant waterfront oasis offering stunning views of the Sea of Marmara, making it a popular destination for relaxation and recreation. Visitors can wander along the park's meandering pathways, shaded by towering trees and vibrant flowers, while enjoying the refreshing sea breeze. Picnic areas and benches scattered throughout the park provide ideal spots for soaking up the sun or enjoying a leisurely outdoor meal with family and friends. Sports enthusiasts can take advantage of the park's facilities, including basketball courts and jogging tracks, for an active day out in nature. Whether for a peaceful stroll, a picnic by the sea, or a refreshing workout, Fenerbahçe Park offers something for everyone to enjoy amidst its tranquil surroundings.","40.96907865429402,29.03613503748412"
Bagdat Avenue,4.6,311612,"13,14,15",https://tr.wikipedia.org/wiki/Ba%C4%9Fdat_Caddesi,"https://www.google.com/maps/place/Caddebostan,+Ba%C4%9Fdat+Cad.,+Kad%C4%B1k%C3%B6y%2F%C4%B0stanbul/@40.9680569,29.0637795,17z/data=!3m1!4b1!4m6!3m5!1s0x14cac6e3ec2eebf1:0x71425d87fcd56377!8m2!3d40.9680529!4d29.0663491!16s%2Fm%2F027j_yh?entry=ttu",2,"Bağdat Avenue is a bustling thoroughfare renowned for its elegant shops, vibrant cafes, and upscale restaurants, making it a premier destination for shopping and dining in Kadıköy. Lined with palm trees and chic boutiques, the avenue exudes an air of sophistication and luxury, attracting both locals and tourists alike. Fashionistas flock to Bağdat Avenue to peruse its designer stores and trendy boutiques, while foodies indulge in gourmet cuisine and international fare at its diverse array of eateries. With its lively atmosphere and stylish ambiance, Bağdat Avenue offers a unique shopping and dining experience that reflects the cosmopolitan spirit of Istanbul's Asian side. Whether for a leisurely stroll, a shopping spree, or a gourmet meal, Bağdat Avenue promises an unforgettable outing amidst its vibrant surroundings.","40.9683886821237,29.065833609170745"
Caddebostan Beach Park,4.6,113129,"9,11,12",https://www.neredekal.com/caddebostan-sahil-parki-gezilecek-yer-detay/,"https://www.google.com/maps/place/Caddebostan+Sahili/@40.962217,29.0596469,17z/data=!3m1!4b1!4m6!3m5!1s0x14cac771e10840f3:0x301b9eeecb297cf9!8m2!3d40.962217!4d29.0622272!16s%2Fg%2F11bxc76l_5?entry=ttu",2,"Caddebostan Beach Park, nestled in the heart of Kadıköy, Istanbul's Anatolian side, stands as a vibrant testament to community engagement and outdoor recreation. From sports facilities provided by the Kadıköy Municipality to its picturesque walking tracks and bicycle paths, the park caters to diverse interests and age groups, offering a dynamic blend of activities for all. Visitors can skate by the beach, shoot hoops on the basketball court, or enjoy family picnics while children frolic in the playgrounds. With easy accessibility via public transportation and ample parking options, Caddebostan Beach Park beckons locals and tourists alike to soak in its lively atmosphere and breathtaking sea views. Whether strolling along Bağdat Street or enjoying the park's coastal ambiance, Caddebostan Beach Park remains a cherished destination for relaxation and outdoor enjoyment on the Anatolian coast of Istanbul.","40.962395175607604,29.0625061582367"
Goztepe Park,4.4,932904,"9,11,12",https://tr.wikipedia.org/wiki/G%C3%B6ztepe_60._Y%C4%B1l_Park%C4%B1,"https://www.google.com/maps/place/Caddebostan,+G%C3%B6ztepe+60.+Y%C4%B1l+Park%C4%B1,+34728+Kad%C4%B1k%C3%B6y%2F%C4%B0stanbul/@40.9694855,29.0577502,17z/data=!3m1!4b1!4m6!3m5!1s0x14cac77763a60091:0x8124dccc22d60311!8m2!3d40.9694855!4d29.0577502!16s%2Fg%2F113hqzkmy?entry=ttu",2,"Göztepe Park is a lush green oasis offering a peaceful retreat from the urban hustle, with sprawling lawns, towering trees, and meandering pathways. Nature enthusiasts can explore the park's diverse flora and fauna, spotting birds and butterflies amidst the tranquil surroundings. Families gather for picnics and outdoor activities, while children delight in playgrounds and recreational facilities. Joggers and fitness enthusiasts take advantage of the park's jogging tracks and fitness stations, enjoying invigorating workouts amidst nature's splendor. Whether for a leisurely stroll, a family outing, or a morning jog, Göztepe Park provides a serene escape for visitors seeking solace in the heart of the city.","40.969894594318895,29.058313463931665"
Caddebostan Beach,4.5,124157,"11,12,14",https://www.instagram.com/caddebostans/,"https://www.google.com/maps/place/Caddebostan+Sahili/@40.962221,29.0596576,17z/data=!3m1!4b1!4m6!3m5!1s0x14cac771e10840f3:0x301b9eeecb297cf9!8m2!3d40.962217!4d29.0622272!16s%2Fg%2F11bxc76l_5?entry=ttu",2,"Caddebostan Beach is a scenic coastal gem nestled along the shores of the Marmara Sea, offering pristine sands and inviting waters for sunbathers and swimmers. Beachgoers can relax on loungers or under umbrellas, soaking up the Mediterranean sun while listening to the gentle lapping of waves. Active visitors can partake in water sports such as paddleboarding and windsurfing, enjoying exhilarating adventures on the sea. Families and friends gather for picnics and barbecues on the beach, savoring delicious meals against the backdrop of sparkling waters. As the sun sets, Caddebostan Beach becomes a romantic spot for couples, with breathtaking views of the horizon painting the sky in hues of orange and pink.","40.962204847303646,29.06226475095148"
