location_id,name
8389317,Selma Numanoglu - Guide Professionelle Privee
3632320,Moviegold
3595790,Abbasaga Cami
3642888,Tem Sanat Galerisi
3675929,Ronesans Sanat Galerisi
6621440,Moschea Semsi Pasha
8712917,Sakiz Adasi
3617339,Maritime Museum
523956,Arsen Lupen Besiktas
3611564,Artium Sanat Evi
3645680,Literature Museum of Writers Syndicate of Turkey
3673502,Sanitas Spa & Wellness
3642903,Istanbul Halk Tiyatrosu
14204954,Holy Cross Armenian Church- Surp Hac Ermen Kilisesi
14802529,Seyh Mustafa Devati Turbesi
3628324,Citir Pub
3613761,Look Art Studio
3695737,Yildiz Palace Museum
23231141,The Orca Travel
25213032,Kara Davut Pasa Camii
10682777,Too Istanbul
5612403,Tuzbaba Turbesi
23255083,Barbaros Hayrettin Pasa Turbesi
3627144,Ihlamur Cami
23940335,Seyh Mustafa Davati Efendi Camii
19240034,Cinematica
3676440,Valide-i Atik Kulliyesi
26721880,Chiropractor Istanbul
12492172,Mihrimah Sultan Camii (Iskele Camii)
20378327,culturetripturkey.com
3628364,Derinlikler Sanat Merkezi
3611602,Uskudar Kapali Carsi
3598208,Galeri Sevart
4480314,Local Tour Guide Istanbul
3599847,Tiyatro Furi
23304412,Pasa LimanI ParkI
23891664,Demokrasi KahramanlarI ParkI
3608439,Mine Sanat Galerisi
3656341,Capitol Spectrum 14 Sinemalari
25217159,Uskudar Sultantepe ParkI
25217153,Sultantepe MuhtarlIk Cesmesi
3629137,Besiktas Cultural Center
5005493,Scoprire Istanbul
8666045,Capitol Shopping Center Uskudar
3656509,Capitol Alisveris ve Eglence Merkezi
27150321,Sanitas Spa & Wellness
25194973,Huseyin Avni Pasa Cesmesi
3628186,Yildiz Chalet
13427844,Sinan Pasa Camii
13414586,Enes Bio Estetik Center
23160501,Selman Aga Turbesi
3645696,Uskudar Tekel Sahnesi
24079541,Cactus Game Center
19998400,Hotel Transfer Istanbul
23297213,Jcm London
25214365,Seyh Devati Mustafa Efendi Cami Cesmesi
3595411,Tepe Nautilus Shopping Center
3645303,Doku Art Gallery
3632333,Feriye
15758999,VINUS WINE & SPIRITS
25211312,Muhasebeci Abdi Efendi Camii Cesmesi
13837982,Besiktas Panayia Greek Orthodox Church
20347608,Go Travel Istanbul
23161553,Horhor Cesmesi
12616294,Besiktas Kartal Heykeli
3643623,Ihlamur Pavilion
19426049,AklI Fikri Proje
27175789,Canan Sagdic Antik
3671466,Chill Out Spa
3704751,Soda
3671451,Pecheur D'images
14913197,Surp Asdvadzadzin Ermeni Kilisesi
295156,Naval Museum
3608680,American Hastanesi Sanat Galerisi
9844807,Universal Travel Services
6220060,Cinili Turkish Bath
11918993,Dehset Konagi
11962775,VR HOUSE
23960101,Boyner Capitol
3619616,Beer Point
3710216,Sanat Kosku
23218731,Epicene
23894505,Ummu Gulsum Cesmesi
3601318,Eski Valide Camii
12969836,Uskudar Valide Sultan
4885611,Tutun shop
3611559,Artisan Sanat Galerisi
6223487,Great Camlica Estate Park
19748345,Bulbuldere Fevziye Hatun Camii
21301007,BaglarbasIndaki Tarihi Cesme
21080460,Crosscom Exclusive Tours
19748330,Necmettin Ozturk Parki
12693563,Turquie Loisir
3617016,Mabeyn Gallery
3677629,Altunizade Kultur ve Sanat Merkezi
15711026,Rani Travel - Antalya
25217165,Seyh Mehmet Efendi Camii
8694986,Apartmind
3512257,Sakirin Mosque
3683079,International Art Center
3617368,Elma Cafe & Pub
524126,Yildiz Park
21410448,Romos Travel Agency
3628852,Hamsi Diving
10401731,Fethi Pasa Korusu
12634228,Buyuk Camlica Tepesi
27141424,Wougy
25213768,Karacaahmet Nuh Kuyusu Su Terazisi
11918999,Gizemli Konak
3635779,The SPA at Four Seasons Spa & Hamam
3611740,Adile Sultan Kasri
15013505,Marmara Ilahiyat Cami
9610224,Uskudar Sifa HamamI
24185377,Sala Muzik
3651824,DivingTurk
26641999,Di̇vi̇tci̇ler Cami̇
