location_id,name
11680066,Gaia Yoresel
22911794,Origami Croissant
3643623,Ihlamur Pavilion
13427844,Sinan Pasa Camii
3431961,Akademi Terace Restaurant
5415133,Kaset Restaurant & Cafe
6762533,Peri KahvaltI SokagI
2672392,Ziyafet Ev Yemekleri
12279100,Sunrise Istanbul Suites
14913197,Surp Asdvadzadzin Ermeni Kilisesi
21510449,Besiktas Vip Inn Hotel & Suites
21356398,CIMEN BUFE
3619616,Beer Point
3357891,Manti Keyfi
11742609,Ferda Cafe
23590418,Merci Baku
23999191,Unique Garden Cafe
23255083,Barbaros Hayrettin Pasa Turbesi
19991861,Pango Besiktas
20264997,We Residence
3627144,Ihlamur Cami
21351265,Cotto E Crudo
17664675,Yalla Falafel
19467044,Black Drop Burger
19859047,Freddo Cappuccino Corner
19185360,Coffeetainer
12050167,Tzl Suites
24991789,Boterham
12820046,Ada Suites NisantasI
19307052,Cafe Goss
8607599,Hotel Bosfora
25401943,Rays Besiktas
25270147,Daphne Besiktas
27625343,Seyr-i Derya Cafe Besiktas
2681136,Hanim-Eli
24035774,Hygge Coffee Shop
15752509,Only Toast & Sandwiches
3595790,Abbasaga Cami
2672520,Durumce
17622720,Kim bilir? Who Knows...
19012244,Mersin Yaprak Tantuni
3334843,Karadeniz Pide Salonu
3343897,Duran Sandwiches
2312203,Pizza Pizza
15758999,VINUS WINE & SPIRITS
26637106,Lolo caffee
3360187,Erdem Kebap
7698520,Hayat Memat Meyhanesi
2675270,Gaudi Restaurant
25192881,Nis Corner Cafe Bar
19998400,Hotel Transfer Istanbul
9832120,Kruvasan
12335029,Coffee Co. NY
806705,Hanedan Restaurant
2524050,Meze Grill Restaurant
4756307,Makara Cafe
8072148,salto
12676568,Isos Doner
17471350,Loews Sky Residence
7202018,Cafe Cakehouse
7806465,Doga cafe
8557349,Roof Abiye
24998963,Hayat Memat Meyhanesi
6617590,Orya Hotel
1087766,Four Seasons Hotel Istanbul at the Bosphorus
2675124,Domino's Pizza
27492055,Vip Inn Hotel & Suites
8649907,Burgerhood
3598208,Galeri Sevart
3628364,Derinlikler Sanat Merkezi
23844350,Frango Doner Besiktas
7645946,Besiktas Barbaros Balikcisi
23966794,Ihlamur KasrI Kafe
18894973,Baruthane PilavcIsI Besiktas
11436029,Ganaj Bakery
8863595,Mintika
24999268,Jarn Coffee
12995000,Tasto
27504308,Starbucks
25231732,Via CIragan Hotel
23701437,Besiktas Konuk Hotel
524126,Yildiz Park
27626327,Squish
12212610,Foodie by Emel Basdogan
2630597,Aqua Restaurant
17313815,Cokolada Besiktas
4867389,Bahce Bufe
17478134,Pokemate Poke Bowls & Sushi
10682777,Too Istanbul
21038888,Abaka Butik Restoran
6638581,400 Derece
3617339,Maritime Museum
12963895,Ahali Tesvikiye
17545935,Linden Houses
27478641,Guest Hotel
7894464,Vivano Cafe
3400046,Divine Brasserie & Jazz Club
8639877,CrepeBox
6750856,Gurkan Sef Steakhouse Nisantasi
23744499,Papa John's Pizza
2670172,Wineport
14076677,Altibucuk Adana Ocakbasi
12460853,Lausos Palace Hotel Sisli
2197919,Balkan Lokantasi
2675330,Sampi
13941719,Eat and Meet Restaurant
25459777,Cito Street Food & Meze Bar
12877466,Hayali Hacivat
3611559,Artisan Sanat Galerisi
8687500,Baracca
23577654,Tarihi UnkapanI PilavcIsI Besiktas
2676511,Cigkoftem
24042791,Casa de Frida's Besiktas
2684939,Pilavci Ali Usta
11622064,Sahil Rest Cafe
17528922,Sbarro
25190232,Guest Hotel
21372549,Moyaj Restaurant
