user_id,user_gender,place_id,continent,score,user_age
1,Male,563837,2,1,54
1,Male,776089,2,0,54
1,Male,207024,2,1,54
1,Male,711495,2,1,54
1,Male,463612,2,1,54
1,Male,733989,2,1,54
1,Male,375467,2,1,54
1,Male,992964,2,1,54
1,Male,342528,2,1,54
1,Male,459627,2,1,54
2,Male,251013,4,1,66
2,Male,850483,4,1,66
2,Male,372615,4,1,66
2,Male,132006,4,0,66
2,Male,708729,4,1,66
2,Male,721688,4,1,66
2,Male,616147,4,1,66
2,Male,769885,4,1,66
2,Male,951668,4,1,66
2,Male,891167,4,0,66
3,Male,805735,0,1,59
3,Male,286657,0,1,59
3,Male,375467,0,1,59
3,Male,289564,0,1,59
3,Male,207024,0,1,59
3,Male,432515,0,1,59
3,Male,188547,0,1,59
3,Male,656298,0,0,59
3,Male,554262,0,0,59
3,Male,129727,0,1,59
4,Female,562184,3,1,31
4,Female,868833,3,1,31
4,Female,246243,3,1,31
4,Female,739809,3,1,31
4,Female,441361,3,1,31
4,Female,897781,3,1,31
4,Female,970705,3,1,31
4,Female,606707,3,1,31
4,Female,221021,3,1,31
4,Female,274391,3,1,31
5,Female,572919,4,1,52
5,Female,831890,4,1,52
5,Female,459627,4,1,52
5,Female,805735,4,1,52
5,Female,102220,4,1,52
5,Female,932904,4,1,52
5,Female,286657,4,1,52
5,Female,275853,4,1,52
5,Female,723399,4,1,52
5,Female,126059,4,1,52
6,Male,331044,2,1,60
6,Male,432515,2,1,60
6,Male,744985,2,1,60
6,Male,831890,2,1,60
6,Male,850483,2,1,60
6,Male,656298,2,0,60
6,Male,704220,2,0,60
6,Male,407442,2,1,60
6,Male,711495,2,1,60
6,Male,917914,2,1,60
7,Female,850483,2,1,57
7,Female,821293,2,1,57
7,Female,891707,2,1,57
7,Female,131564,2,1,57
7,Female,299185,2,1,57
7,Female,960907,2,1,57
7,Female,708729,2,1,57
7,Female,615414,2,1,57
7,Female,288822,2,1,57
7,Female,165264,2,0,57
8,Female,195027,4,1,54
8,Female,572919,4,1,54
8,Female,697189,4,1,54
8,Female,939682,4,1,54
8,Female,130835,4,1,54
8,Female,648883,4,1,54
8,Female,432443,4,1,54
8,Female,761356,4,1,54
8,Female,711495,4,1,54
8,Female,721688,4,1,54
9,Male,957964,1,1,67
9,Male,715835,1,1,67
9,Male,467581,1,1,67
9,Male,615371,1,1,67
9,Male,927834,1,1,67
9,Male,370509,1,1,67
9,Male,958153,1,1,67
9,Male,871687,1,1,67
9,Male,112832,1,1,67
9,Male,776089,1,0,67
10,Male,775469,3,1,91
10,Male,197961,3,1,91
10,Male,370509,3,1,91
10,Male,691699,3,1,91
10,Male,891167,3,1,91
10,Male,161477,3,1,91
10,Male,102220,3,1,91
10,Male,562184,3,1,91
10,Male,970705,3,1,91
10,Male,228137,3,1,91
11,Female,131564,2,1,53
11,Female,516585,2,1,53
11,Female,360880,2,1,53
11,Female,625673,2,1,53
11,Female,191771,2,1,53
11,Female,213192,2,1,53
11,Female,102220,2,0,53
11,Female,761356,2,0,53
11,Female,375467,2,1,53
11,Female,366333,2,1,53
12,Male,950867,5,1,71
12,Male,661463,5,0,71
12,Male,289564,5,1,71
12,Male,342528,5,1,71
12,Male,860072,5,1,71
12,Male,341412,5,0,71
12,Male,188547,5,1,71
12,Male,930187,5,1,71
12,Male,775469,5,1,71
12,Male,704220,5,1,71
13,Female,292410,0,0,39
13,Female,770170,0,1,39
13,Female,777046,0,1,39
13,Female,917914,0,1,39
13,Female,441361,0,1,39
13,Female,133470,0,1,39
13,Female,697189,0,1,39
13,Female,831238,0,1,39
13,Female,133470,0,1,39
13,Female,366333,0,1,39
14,Female,130835,0,0,65
14,Female,806175,0,1,65
14,Female,653321,0,0,65
14,Female,470793,0,0,65
14,Female,221021,0,0,65
14,Female,928073,0,1,65
14,Female,366333,0,0,65
14,Female,921601,0,1,65
14,Female,992964,0,0,65
14,Female,697189,0,1,65
15,Female,805735,3,1,17
15,Female,370509,3,1,17
15,Female,128087,3,1,17
15,Female,950867,3,1,17
15,Female,723599,3,1,17
15,Female,770256,3,1,17
15,Female,126399,3,1,17
15,Female,331296,3,1,17
15,Female,528752,3,1,17
15,Female,691699,3,0,17
16,Male,467581,5,1,44
16,Male,598162,5,1,44
16,Male,572919,5,1,44
16,Male,107662,5,1,44
16,Male,126059,5,0,44
16,Male,489599,5,1,44
16,Male,859308,5,1,44
16,Male,950867,5,1,44
16,Male,930187,5,1,44
16,Male,221021,5,0,44
17,Male,568229,5,1,54
17,Male,463612,5,1,54
17,Male,375467,5,0,54
17,Male,733989,5,1,54
17,Male,467581,5,1,54
17,Male,407442,5,1,54
17,Male,528752,5,1,54
17,Male,480760,5,1,54
17,Male,932904,5,1,54
17,Male,891707,5,1,54
18,Male,128087,5,1,76
18,Male,820326,5,1,76
18,Male,306487,5,1,76
18,Male,188547,5,1,76
18,Male,311612,5,1,76
18,Male,606707,5,1,76
18,Male,360880,5,1,76
18,Male,516585,5,1,76
18,Male,711495,5,1,76
18,Male,572919,5,1,76
19,Male,844639,5,1,54
19,Male,129727,5,1,54
19,Male,496546,5,1,54
19,Male,879950,5,1,54
19,Male,693072,5,1,54
19,Male,820326,5,1,54
19,Male,770256,5,1,54
19,Male,266340,5,1,54
19,Male,598162,5,1,54
19,Male,820326,5,1,54
20,Female,113129,3,1,42
20,Female,299185,3,1,42
20,Female,432515,3,1,42
20,Female,288822,3,1,42
20,Female,745475,3,1,42
20,Female,820574,3,1,42
20,Female,676421,3,1,42
20,Female,850483,3,0,42
20,Female,656298,3,1,42
20,Female,929604,3,1,42
21,Female,965587,0,1,56
21,Female,744985,0,1,56
21,Female,498739,0,1,56
21,Female,939682,0,1,56
21,Female,891167,0,0,56
21,Female,721688,0,1,56
21,Female,601061,0,1,56
21,Female,992964,0,1,56
21,Female,820574,0,1,56
21,Female,939682,0,1,56
22,Female,517228,4,1,52
22,Female,877687,4,1,52
22,Female,960907,4,1,52
22,Female,132006,4,1,52
22,Female,204226,4,0,52
22,Female,246243,4,1,52
22,Female,102220,4,1,52
22,Female,891707,4,1,52
22,Female,898991,4,1,52
22,Female,188547,4,1,52
23,Male,824345,1,1,45
23,Male,335098,1,0,45
23,Male,126399,1,1,45
23,Male,360880,1,1,45
23,Male,432443,1,1,45
23,Male,201075,1,1,45
23,Male,196733,1,0,45
23,Male,859308,1,1,45
23,Male,925873,1,1,45
23,Male,715835,1,1,45
24,Male,311612,1,0,44
24,Male,266340,1,1,44
24,Male,507399,1,1,44
24,Male,656298,1,1,44
24,Male,213192,1,1,44
24,Male,507399,1,1,44
24,Male,467581,1,1,44
24,Male,929604,1,1,44
24,Male,126059,1,1,44
24,Male,770256,1,1,44
25,Male,715835,2,1,62
25,Male,341412,2,1,62
25,Male,883675,2,1,62
25,Male,928073,2,1,62
25,Male,375467,2,1,62
25,Male,289564,2,1,62
25,Male,770170,2,1,62
25,Male,106188,2,1,62
25,Male,844639,2,1,62
25,Male,375467,2,1,62
26,Female,331044,1,1,51
26,Female,176570,1,1,51
26,Female,615371,1,1,51
26,Female,868833,1,1,51
26,Female,931664,1,1,51
26,Female,598162,1,0,51
26,Female,925873,1,1,51
26,Female,375467,1,1,51
26,Female,951668,1,1,51
26,Female,197961,1,1,51
27,Male,537829,3,1,40
27,Male,124157,3,1,40
27,Male,897781,3,1,40
27,Male,691699,3,1,40
27,Male,898991,3,1,40
27,Male,229438,3,1,40
27,Male,104738,3,1,40
27,Male,821293,3,1,40
27,Male,776089,3,1,40
27,Male,992964,3,1,40
28,Female,463612,3,0,36
28,Female,128087,3,1,36
28,Female,132006,3,1,36
28,Female,191771,3,1,36
28,Female,407442,3,1,36
28,Female,917914,3,1,36
28,Female,562184,3,1,36
28,Female,601061,3,0,36
28,Female,432443,3,1,36
28,Female,992964,3,1,36
29,Male,950867,1,1,74
29,Male,897781,1,1,74
29,Male,102220,1,1,74
29,Male,554262,1,1,74
29,Male,554262,1,1,74
29,Male,130835,1,1,74
29,Male,776089,1,1,74
29,Male,704220,1,0,74
29,Male,821293,1,1,74
29,Male,723599,1,1,74
30,Male,265458,2,1,47
30,Male,505870,2,1,47
30,Male,331296,2,1,47
30,Male,467581,2,1,47
30,Male,827370,2,1,47
30,Male,661463,2,1,47
30,Male,733989,2,1,47
30,Male,156464,2,0,47
30,Male,207141,2,1,47
30,Male,616147,2,1,47
31,Male,528752,0,1,67
31,Male,266340,0,1,67
31,Male,176570,0,1,67
31,Male,322220,0,1,67
31,Male,266340,0,1,67
31,Male,124157,0,0,67
31,Male,697189,0,0,67
31,Male,112832,0,1,67
31,Male,124157,0,1,67
31,Male,831890,0,1,67
32,Female,648883,1,1,61
32,Female,615414,1,1,61
32,Female,691699,1,1,61
32,Female,161477,1,0,61
32,Female,805735,1,1,61
32,Female,140042,1,1,61
32,Female,769885,1,1,61
32,Female,375467,1,1,61
32,Female,227804,1,1,61
32,Female,537829,1,1,61
33,Male,432515,0,1,47
33,Male,820574,0,1,47
33,Male,213192,0,1,47
33,Male,498739,0,1,47
33,Male,289564,0,1,47
33,Male,704220,0,1,47
33,Male,480760,0,1,47
33,Male,176570,0,1,47
33,Male,932904,0,0,47
33,Male,463612,0,1,47
34,Female,744985,0,1,41
34,Female,335098,0,1,41
34,Female,275853,0,1,41
34,Female,213420,0,1,41
34,Female,691699,0,1,41
34,Female,770256,0,0,41
34,Female,342528,0,1,41
34,Female,898991,0,1,41
34,Female,292410,0,1,41
34,Female,606707,0,1,41
35,Male,207141,5,1,29
35,Male,251013,5,0,29
35,Male,844639,5,0,29
35,Male,831238,5,1,29
35,Male,958609,5,1,29
35,Male,733989,5,0,29
35,Male,860072,5,1,29
35,Male,805735,5,1,29
35,Male,228137,5,1,29
35,Male,188547,5,1,29
36,Male,126399,2,1,45
36,Male,372615,2,1,45
36,Male,246243,2,1,45
36,Male,637717,2,1,45
36,Male,165264,2,1,45
36,Male,207141,2,1,45
36,Male,625673,2,1,45
36,Male,615414,2,1,45
36,Male,939682,2,1,45
36,Male,708729,2,1,45
37,Male,450480,0,1,60
37,Male,755016,0,1,60
37,Male,653321,0,1,60
37,Male,331296,0,0,60
37,Male,443705,0,1,60
37,Male,676421,0,1,60
37,Male,274391,0,1,60
37,Male,213192,0,1,60
37,Male,827370,0,1,60
37,Male,615371,0,0,60
38,Male,776089,5,1,57
38,Male,723599,5,1,57
38,Male,479281,5,1,57
38,Male,820574,5,1,57
38,Male,672514,5,1,57
38,Male,197961,5,1,57
38,Male,197961,5,1,57
38,Male,846545,5,1,57
38,Male,191771,5,1,57
38,Male,292410,5,1,57
39,Female,480760,4,1,70
39,Female,745475,4,1,70
39,Female,715835,4,1,70
39,Female,871687,4,1,70
39,Female,303350,4,1,70
39,Female,871687,4,1,70
39,Female,777046,4,1,70
39,Female,805735,4,1,70
39,Female,299185,4,1,70
39,Female,711495,4,0,70
40,Female,201075,5,1,44
40,Female,467581,5,1,44
40,Female,191771,5,1,44
40,Female,112832,5,1,44
40,Female,653321,5,1,44
40,Female,128087,5,1,44
40,Female,898991,5,1,44
40,Female,311612,5,1,44
40,Female,572919,5,1,44
40,Female,805735,5,1,44
41,Male,598162,5,1,26
41,Male,850483,5,1,26
41,Male,616147,5,1,26
41,Male,637717,5,0,26
41,Male,366333,5,1,26
41,Male,130835,5,1,26
41,Male,958153,5,1,26
41,Male,213192,5,1,26
41,Male,871687,5,1,26
41,Male,260289,5,0,26
42,Female,898991,0,1,39
42,Female,129727,0,1,39
42,Female,331296,0,1,39
42,Female,207024,0,1,39
42,Female,401221,0,1,39
42,Female,693072,0,0,39
42,Female,341412,0,1,39
42,Female,770170,0,1,39
42,Female,265387,0,1,39
42,Female,432443,0,1,39
43,Male,195027,0,1,41
43,Male,932904,0,1,41
43,Male,917914,0,1,41
43,Male,360880,0,1,41
43,Male,288822,0,1,41
43,Male,653321,0,1,41
43,Male,130835,0,1,41
43,Male,528752,0,1,41
43,Male,450480,0,1,41
43,Male,931664,0,1,41
44,Female,366333,3,1,64
44,Female,824345,3,1,64
44,Female,929604,3,1,64
44,Female,568229,3,1,64
44,Female,505870,3,1,64
44,Female,672514,3,1,64
44,Female,443705,3,1,64
44,Female,820574,3,1,64
44,Female,126059,3,0,64
44,Female,806175,3,1,64
45,Female,770256,1,1,49
45,Female,770170,1,1,49
45,Female,562184,1,1,49
45,Female,306487,1,1,49
45,Female,213420,1,0,49
45,Female,770170,1,1,49
45,Female,563837,1,1,49
45,Female,265458,1,1,49
45,Female,930187,1,1,49
45,Female,891167,1,1,49
46,Female,370509,1,1,44
46,Female,631691,1,1,44
46,Female,723599,1,1,44
46,Female,537829,1,1,44
46,Female,720081,1,1,44
46,Female,761356,1,1,44
46,Female,846545,1,0,44
46,Female,286657,1,1,44
46,Female,505870,1,1,44
46,Female,723399,1,1,44
47,Male,113129,3,1,29
47,Male,196623,3,1,29
47,Male,598162,3,1,29
47,Male,322220,3,1,29
47,Male,288822,3,1,29
47,Male,311612,3,1,29
47,Male,480760,3,0,29
47,Male,130835,3,1,29
47,Male,133470,3,0,29
47,Male,615414,3,1,29
48,Male,131564,5,1,37
48,Male,958609,5,1,37
48,Male,479281,5,1,37
48,Male,303350,5,1,37
48,Male,140042,5,1,37
48,Male,161477,5,1,37
48,Male,414821,5,1,37
48,Male,860072,5,1,37
48,Male,831890,5,0,37
48,Male,246243,5,1,37
49,Female,463612,4,1,53
49,Female,265387,4,1,53
49,Female,775469,4,0,53
49,Female,615414,4,1,53
49,Female,266340,4,0,53
49,Female,292410,4,1,53
49,Female,898991,4,1,53
49,Female,372615,4,1,53
49,Female,958153,4,1,53
49,Female,691699,4,1,53
50,Male,152774,1,1,48
50,Male,196733,1,1,48
50,Male,528752,1,1,48
50,Male,331296,1,1,48
50,Male,299035,1,1,48
50,Male,517228,1,1,48
50,Male,960907,1,1,48
50,Male,470793,1,1,48
50,Male,921601,1,1,48
50,Male,306487,1,1,48
51,Male,288822,4,1,55
51,Male,697189,4,1,55
51,Male,934613,4,1,55
51,Male,292410,4,1,55
51,Male,213420,4,1,55
51,Male,806175,4,1,55
51,Male,331296,4,1,55
51,Male,152774,4,1,55
51,Male,275853,4,1,55
51,Male,201075,4,1,55
52,Female,452231,0,1,51
52,Female,407442,0,1,51
52,Female,739809,0,1,51
52,Female,213192,0,1,51
52,Female,723399,0,1,51
52,Female,102220,0,1,51
52,Female,450480,0,1,51
52,Female,883002,0,1,51
52,Female,806175,0,0,51
52,Female,711495,0,1,51
53,Female,831890,2,1,49
53,Female,844639,2,1,49
53,Female,928073,2,0,49
53,Female,407442,2,1,49
53,Female,653321,2,0,49
53,Female,197961,2,1,49
53,Female,201075,2,1,49
53,Female,140042,2,1,49
53,Female,292410,2,1,49
53,Female,112832,2,1,49
54,Female,877687,2,1,46
54,Female,744985,2,1,46
54,Female,868833,2,1,46
54,Female,528752,2,1,46
54,Female,414821,2,1,46
54,Female,939682,2,0,46
54,Female,676421,2,0,46
54,Female,615414,2,0,46
54,Female,311612,2,1,46
54,Female,776089,2,1,46
55,Female,288822,3,1,45
55,Female,199043,3,1,45
55,Female,322220,3,1,45
55,Female,450480,3,0,45
55,Female,129727,3,1,45
55,Female,744985,3,1,45
55,Female,805735,3,1,45
55,Female,360880,3,1,45
55,Female,221021,3,1,45
55,Female,960907,3,1,45
56,Female,286657,5,1,54
56,Female,965587,5,1,54
56,Female,342528,5,1,54
56,Female,113129,5,0,54
56,Female,691699,5,1,54
56,Female,292410,5,1,54
56,Female,517228,5,1,54
56,Female,102220,5,1,54
56,Female,467581,5,1,54
56,Female,883002,5,1,54
57,Male,199043,1,1,60
57,Male,213192,1,1,60
57,Male,459627,1,1,60
57,Male,452231,1,1,60
57,Male,615414,1,1,60
57,Male,562184,1,1,60
57,Male,625673,1,1,60
57,Male,375467,1,0,60
