location_id,name
3357057,Kofteci Ramiz
7702076,Kofteci Abi
17789356,Campucity Kiz Ogrenci Yurdu
27134767,Classio Suite Hotel
9735738,Central Rooms
3626584,Kevin's Hostel
3374610,Turkmenoglu Lokantasi
2671836,Cihan Inegol Kofte
26258178,3 Burger Kadikoy
7075831,Serbetci Ali Baba
7688153,Esta Residence
3370346,Kadikoy Sofrasi
8759967,Yeldegirmeni Sanat Merkezi
23698233,Pikta Bakery & Cafe
26499733,Hal & Hill Co.
3439337,Pilav House
3613743,Asfalt Art Gallery
2676000,Benume Burger
27556017,Turkuaz Cafe&house
10665186,Yetimania Korku Evi
26300808,AltIncag Restorant
9752533,Kamarad Coffee Roastery
11848368,Mado
10249005,Mudavim Lokantasi
19749452,Yolo Hostel
15694180,D&D Suites
26847139,BehiCeramic
17790300,Yolo Hostel Yeldegirmeni
25902556,E Spa Wellness & KadIkoy Massage Hamam Therapy
8071361,Myhome Garden
9712910,Gunesin Sofrasi Meyhane
3343770,Yeldegirmeni Et Lokantasi
13567001,Mezzo Hotel
7159037,KSRL Social
23202529,Dehsetin Yuzu KadIkoy Korku Evi
26559590,Carbo Smash Burger
8756261,Hasan Usta Kebap
18193274,By Home Life
2725712,Agape Hostel
21378701,Annapurna Cheesecake
2010849,Hush Gallery
12645260,Altincag
17724797,Kadir Ulus
25455700,Manifesto
25164161,Golva Rooms
23651660,As Brides
25252588,Mucha
19071765,Grave Korku Evi
27181420,Mimoza Guesthouse
15519422,Viento
17147000,Tarihi Tasfirin Simiti
7759407,Joker House
24145095,Bej KadIkoy Premium Coffee Co
21267877,KARINA MEZE BALIK
2678857,McDonald's
14069796,Pide Salih Usta
15637536,Kadikoy Akasya
11873091,Pirate's Fish n' Chips
17789889,Yeldegirmeni Kevins
26772200,Rubby Hotel KadIkoy
3360249,Has Tantuni
9728943,Benazio Coffee
2678893,Mehmet Usta Kebap Salonu
25265665,Dehsetin Yuzu Korku Evi
23319586,Candan
13078860,Damla Pide & Lahmacun
26737492,KadIkoy Linda Hotel
20871515,F & B Suite
26627380,Mill Burger
24912527,Harmonist Kafe
13143703,BAKRAC Kebap
24865699,Farmyard Yeldegirmeni
8493148,bop! Breakfast of Pan
8457331,Sun Suites
3569388,Asiyan Residence
8055876,Holiday Inn Istanbul - Kadikoy
24111435,HADIG KAFE SANAT
11962812,Asmali Bahce Kadikoy
3370053,Kelkit Doneri
17792087,The Crazy Company
26823910,Yana Cafe
7651479,Zip Pizza
1765295,Hush Hostel Lounge
9453664,Beyaz Konak Restaurant
12986516,Rustik
26767784,KadIkoy Linda Hotel
17810752,Guner Business Hotel
7063207,Apart Kadikoy
25226642,Siccin Korku Evi
14079442,NazIm Hikmet Kultur Merkezi
2672299,Antepli Beraat Tatli ve Cig Kofte Salonu
