location_id,name
3463577,Ekol Hatay Kunefe
2675109,Niyazibey
25211312,Muhasebeci Abdi Efendi Camii Cesmesi
6220060,Cinili Turkish Bath
19732515,Ritsa Restaurant
2684671,Uskudar Durumcusu
14802529,Seyh Mustafa Devati Turbesi
2676032,Verona Pizza
3353267,Karadeniz Mutfagi
3351245,Kardesler Lokantasi
3601318,Eski Valide Camii
2676820,Zeynep Kamil Kokorec
27495017,Starbucks
25138165,Uskudar Home
24131977,Kayser Hookah Lounge Istanbul
3354724,Saray Pide
13656608,Orhan Pilav Evi
26246403,Sahil Otel
26641999,Di̇vi̇tci̇ler Cami̇
3512257,Sakirin Mosque
25067540,Zen Apart Hotel
23901390,Salih Efendi acIk Turbesi
25049546,Safran Cafe
10263280,Kahve Dehasi
25214365,Seyh Devati Mustafa Efendi Cami Cesmesi
27559902,Pizzarita34
7761768,Park Restaurant
23766193,Kahveci Kardesler Uskudar
25213032,Kara Davut Pasa Camii
12159133,Meshur Istanbul Pide
2674356,Oz Burger
8572842,Nazenin Ev Yemekleri
6726652,Limon OsmanlI MutfagI
3606818,The Bosphorus House
19186869,Valide-I Suit
8537439,Na-dide
21226582,Walde Handmade
27101711,Divan Cafeteria Academic Hospital
24192012,Happy Moon's Bob's Cafe Nev CarsI
19960250,Asiyan Kitap Kahve
24079541,Cactus Game Center
23894124,NevcarsI AVM Uskudar
23894566,Tarihi Cesme
15635228,Nevmekan
9838608,Payedar Kahve
27175789,Canan Sagdic Antik
17690484,Metrogar Cafe
9459087,Serra Boutique Hotel
12969667,Vedat Usta Waffle
626671,Sozbir Royal Residence Hotel
4541831,Veni vidi dormi
13419643,Valide Atik Hamami
23875079,Hotel Kassimo
8652812,Incir Alti Istanbul
24185377,Sala Muzik
25088048,A11 Hotel Bosphorus
23894505,Ummu Gulsum Cesmesi
12492172,Mihrimah Sultan Camii (Iskele Camii)
2670034,Saheste Kahvalti ve Ev Yemekleri
2676659,Simge Ev Yemekleri
3710216,Sanat Kosku
2681230,As Kebap
25000378,Limon Pide Kebap Evi
2679842,Trend 216 Cafe Restaurant
12912043,Lokanta Imren
2671665,Sismanoglu Tantuni
10319490,Ikon Otel
3683079,International Art Center
2038701,Volley Hotel
3340212,Little Caesars
2682755,Gell
